306,"Viswabharathi Degree College, Jaggayyapet","Acharya Nagarjuna University, Guntur"
307,"Viveka Arts and Science College, Prakasam","Acharya Nagarjuna University, Guntur"
308,"Vivekananda Degree College, Martur","Acharya Nagarjuna University, Guntur"
309,"Vivekananda Degree College, Tangutur","Acharya Nagarjuna University, Guntur"
310,"Vyshnavi Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
311,"Adi Kavi Nannaya University College, Rajahmundry",Adi Kavi Nannaya University
312,"Adi Kavi Nannaya University Management College, East Godavari",Adi Kavi Nannaya University
313,"Andhra University College of Engineering, Visakhapatnam","Andhra University, Visakhapatnam"
314,"Faculty of Architecture, Andhra University, Visakhapatnam","Andhra University, Visakhapatnam"
315,"Amaksik College of Technology Management, Anakapalle","Andhra University, Visakhapatnam"
316,"Anil Neerukonda Institute of Technology and Science, Bheemunipatnam Mandal","Andhra University, Visakhapatnam"
317,"AU College of Engineering for Women, Visakhapatnam","Andhra University, Visakhapatnam"
318,Gandi Institute of Technology and Management,"Andhra University, Visakhapatnam"
319,"Konaseema Institute of Management Sciences and College of Engineering, Amalapuram","Andhra University, Visakhapatnam"
320,"Praveenya Institute of Marine Engineering, Denkada Mandal","Andhra University, Visakhapatnam"
321,"Raghu Institute of Technology, Bheeminipatnam","Andhra University, Visakhapatnam"
322,"Sagi Ramakrishna Raju (S.R.K.R) Engineering College, West Godavari","Andhra University, Visakhapatnam"
323,"Sankethika Vidya Parishad Engineering College, Visakhapatnam","Andhra University, Visakhapatnam"
324,Shiva Rama Krishna College of Engineering and Technology,"Andhra University, Visakhapatnam"
325,"Sir C.R. Reddy College of Engineering, Eluru","Andhra University, Visakhapatnam"
